stereo_timestamp,imu_timestamp,time_diff
1.6870721300183432e+18,1687072128.0043454,1.687072128331271e+18
1.6870721300517043e+18,1687072128.0043454,1.687072128364632e+18
1.6870721300850655e+18,1687072128.0043454,1.6870721283979932e+18
1.6870721301184266e+18,1687072128.0043454,1.6870721284313544e+18
1.6870721301517878e+18,1687072128.0043454,1.6870721284647155e+18
1.687072130185149e+18,1687072128.0043454,1.6870721284980767e+18
1.6870721302185098e+18,1687072128.0043454,1.6870721285314376e+18
1.6870721302518712e+18,1687072128.0043454,1.687072128564799e+18
1.6870721302852324e+18,1687072128.0043454,1.6870721285981601e+18
1.6870721303185933e+18,1687072128.0043454,1.687072128631521e+18
1.6870721303519544e+18,1687072128.0043454,1.6870721286648822e+18
1.6870721303853153e+18,1687072128.0043454,1.687072128698243e+18
1.6870721304186767e+18,1687072128.0043454,1.6870721287316045e+18
1.6870721304520376e+18,1687072128.0043454,1.6870721287649654e+18
1.6870721304853988e+18,1687072128.0043454,1.6870721287983265e+18
1.6870721305187597e+18,1687072128.0043454,1.6870721288316874e+18
1.687072130552121e+18,1687072128.0043454,1.6870721288650488e+18
1.6870721305854822e+18,1687072128.0043454,1.68707212889841e+18
1.6870721306188436e+18,1687072128.0043454,1.6870721289317714e+18
1.6870721306522045e+18,1687072128.0043454,1.6870721289651323e+18
1.687072130685566e+18,1687072128.0043454,1.6870721289984937e+18
1.6870721307189268e+18,1687072128.0043454,1.6870721290318546e+18
1.6870721307522883e+18,1687072128.0043454,1.687072129065216e+18
1.6870721307856497e+18,1687072128.0043454,1.6870721290985774e+18
1.687072130819011e+18,1687072128.0043454,1.6870721291319388e+18
1.6870721308523725e+18,1687072128.0043454,1.6870721291653002e+18
1.6870721308857336e+18,1687072128.0043454,1.6870721291986614e+18
1.687072130919095e+18,1687072128.0043454,1.6870721292320228e+18
1.6870721309524562e+18,1687072128.0043454,1.687072129265384e+18
1.6870721309858179e+18,1687072128.0043454,1.6870721292987456e+18
1.687072131019179e+18,1687072128.0043454,1.6870721293321068e+18
1.6870721310525407e+18,1687072128.0043454,1.6870721293654684e+18
1.6870721310859023e+18,1687072128.0043454,1.68707212939883e+18
1.6870721311192637e+18,1687072128.0043454,1.6870721294321915e+18
1.6870721311526252e+18,1687072128.0043454,1.687072129465553e+18
1.6870721311859866e+18,1687072128.0043454,1.6870721294989143e+18
1.6870721312193482e+18,1687072128.0043454,1.687072129532276e+18
1.6870721312527096e+18,1687072128.0043454,1.6870721295656374e+18
1.6870721312860713e+18,1687072128.0043454,1.687072129598999e+18
1.6870721313194314e+18,1687072128.0043454,1.6870721296323592e+18
1.6870721313527872e+18,1687072128.0043454,1.687072129665715e+18
1.6870721313861432e+18,1687072128.0043454,1.687072129699071e+18
1.687072131419499e+18,1687072128.0043454,1.6870721297324268e+18
1.6870721314528548e+18,1687072128.0043454,1.6870721297657825e+18
1.6870721314862106e+18,1687072128.0043454,1.6870721297991383e+18
1.6870721315195666e+18,1687072128.0043454,1.6870721298324943e+18
1.6870721315529224e+18,1687072128.0043454,1.68707212986585e+18
1.687072131586278e+18,1687072128.0043454,1.6870721298992056e+18
1.6870721316196337e+18,1687072128.0043454,1.6870721299325614e+18
1.6870721316529894e+18,1687072128.0043454,1.6870721299659172e+18
1.6870721316863452e+18,1687072128.0043454,1.687072129999273e+18
1.6870721317197007e+18,1687072128.0043454,1.6870721300326285e+18
1.6870721317530565e+18,1687072128.0043454,1.6870721300659843e+18
1.6870721317864123e+18,1687072128.0043454,1.68707213009934e+18
1.687072131819768e+18,1687072128.0043454,1.6870721301326958e+18
1.6870721318531233e+18,1687072128.0043454,1.687072130166051e+18
1.687072131886479e+18,1687072128.0043454,1.6870721301994068e+18
1.6870721319198346e+18,1687072128.0043454,1.6870721302327624e+18
1.6870721319531904e+18,1687072128.0043454,1.6870721302661181e+18
1.687072131986546e+18,1687072128.0043454,1.6870721302994737e+18
1.6870721320199012e+18,1687072128.0043454,1.687072130332829e+18
1.6870721320532567e+18,1687072128.0043454,1.6870721303661844e+18
1.6870721320866125e+18,1687072128.0043454,1.6870721303995402e+18
1.687072132119968e+18,1687072128.0043454,1.6870721304328957e+18
1.6870721321533233e+18,1687072128.0043454,1.687072130466251e+18
1.6870721321866785e+18,1687072128.0043454,1.6870721304996063e+18
1.687072132220034e+18,1687072128.0043454,1.6870721305329618e+18
1.6870721322533896e+18,1687072128.0043454,1.6870721305663173e+18
1.6870721322867448e+18,1687072128.0043454,1.6870721305996726e+18
1.687072132320101e+18,1687072128.0043454,1.6870721306330289e+18
1.6870721323534595e+18,1687072128.0043454,1.6870721306663872e+18
1.687072132386818e+18,1687072128.0043454,1.6870721306997458e+18
1.6870721324201764e+18,1687072128.0043454,1.687072130733104e+18
1.6870721324535347e+18,1687072128.0043454,1.6870721307664625e+18
1.6870721324868936e+18,1687072128.0043454,1.6870721307998213e+18
1.687072132520252e+18,1687072128.0043454,1.6870721308331796e+18
1.6870721325536105e+18,1687072128.0043454,1.6870721308665382e+18
1.687072132586969e+18,1687072128.0043454,1.6870721308998968e+18
1.6870721326203277e+18,1687072128.0043454,1.6870721309332554e+18
1.6870721326536863e+18,1687072128.0043454,1.687072130966614e+18
1.6870721326870449e+18,1687072128.0043454,1.6870721309999726e+18
1.6870721327204035e+18,1687072128.0043454,1.6870721310333312e+18
1.687072132753762e+18,1687072128.0043454,1.6870721310666898e+18
1.6870721327871206e+18,1687072128.0043454,1.6870721311000484e+18
1.6870721328204792e+18,1687072128.0043454,1.687072131133407e+18
1.687072132853838e+18,1687072128.0043454,1.6870721311667658e+18
1.6870721328871964e+18,1687072128.0043454,1.6870721312001242e+18
1.687072132920555e+18,1687072128.0043454,1.6870721312334828e+18
1.6870721329539139e+18,1687072128.0043454,1.6870721312668416e+18
1.6870721329872724e+18,1687072128.0043454,1.6870721313002002e+18
1.687072133020631e+18,1687072128.0043454,1.6870721313335588e+18
1.6870721330539896e+18,1687072128.0043454,1.6870721313669174e+18
1.6870721330873485e+18,1687072128.0043454,1.6870721314002762e+18
1.687072133120707e+18,1687072128.0043454,1.6870721314336348e+18
1.687072133154066e+18,1687072128.0043454,1.6870721314669937e+18
1.6870721331874248e+18,1687072128.0043454,1.6870721315003525e+18
1.6870721332207834e+18,1687072128.0043454,1.687072131533711e+18
1.687072133254142e+18,1687072128.0043454,1.6870721315670697e+18
1.6870721332875005e+18,1687072128.0043454,1.6870721316004283e+18
1.6870721333208604e+18,1687072128.0043454,1.6870721316337882e+18
1.687072133354222e+18,1687072128.0043454,1.6870721316671498e+18
1.687072133387584e+18,1687072128.0043454,1.6870721317005117e+18
1.6870721334209457e+18,1687072128.0043454,1.6870721317338734e+18
1.6870721334543076e+18,1687072128.0043454,1.6870721317672353e+18
1.6870721334876695e+18,1687072128.0043454,1.6870721318005972e+18
1.6870721335210312e+18,1687072128.0043454,1.687072131833959e+18
1.687072133554393e+18,1687072128.0043454,1.6870721318673208e+18
1.6870721335877553e+18,1687072128.0043454,1.687072131900683e+18
1.687072133621117e+18,1687072128.0043454,1.6870721319340447e+18
1.687072133654479e+18,1687072128.0043454,1.6870721319674068e+18
1.6870721336878413e+18,1687072128.0043454,1.687072132000769e+18
1.687072133721203e+18,1687072128.0043454,1.6870721320341307e+18
1.687072133754565e+18,1687072128.0043454,1.6870721320674929e+18
1.687072133787927e+18,1687072128.0043454,1.6870721321008548e+18
1.687072133821289e+18,1687072128.0043454,1.6870721321342167e+18
1.6870721338546514e+18,1687072128.0043454,1.6870721321675791e+18
1.6870721338880133e+18,1687072128.0043454,1.687072132200941e+18
1.6870721339213755e+18,1687072128.0043454,1.6870721322343032e+18
1.687072133954738e+18,1687072128.0043454,1.6870721322676657e+18
1.6870721339880998e+18,1687072128.0043454,1.6870721323010276e+18
1.6870721340214623e+18,1687072128.0043454,1.68707213233439e+18
1.6870721340548244e+18,1687072128.0043454,1.6870721323677522e+18
1.6870721340881866e+18,1687072128.0043454,1.6870721324011144e+18
1.6870721341215488e+18,1687072128.0043454,1.6870721324344765e+18
1.687072134154911e+18,1687072128.0043454,1.6870721324678387e+18
1.6870721341882737e+18,1687072128.0043454,1.6870721325012014e+18
1.687072134221636e+18,1687072128.0043454,1.6870721325345638e+18
1.6870721342549983e+18,1687072128.0043454,1.687072132567926e+18
1.6870721342883607e+18,1687072128.0043454,1.6870721326012884e+18
1.6870721343217219e+18,1687072128.0043454,1.6870721326346496e+18
1.6870721343550781e+18,1687072128.0043454,1.687072132668006e+18
1.6870721343884347e+18,1687072128.0043454,1.6870721327013624e+18
1.687072134421791e+18,1687072128.0043454,1.6870721327347187e+18
1.6870721344551475e+18,1687072128.0043454,1.6870721327680753e+18
1.687072134488504e+18,1687072128.0043454,1.6870721328014318e+18
1.6870721345218606e+18,1687072128.0043454,1.6870721328347884e+18
1.687072134555217e+18,1687072128.0043454,1.6870721328681446e+18
1.6870721345885732e+18,1687072128.0043454,1.687072132901501e+18
1.6870721346219297e+18,1687072128.0043454,1.6870721329348575e+18
1.687072134655286e+18,1687072128.0043454,1.6870721329682138e+18
1.6870721346886426e+18,1687072128.0043454,1.6870721330015703e+18
1.6870721347219986e+18,1687072128.0043454,1.6870721330349263e+18
1.6870721347553551e+18,1687072128.0043454,1.687072133068283e+18
1.6870721347887117e+18,1687072128.0043454,1.6870721331016394e+18
1.687072134822068e+18,1687072128.0043454,1.6870721331349957e+18
1.6870721348554245e+18,1687072128.0043454,1.6870721331683523e+18
1.6870721348887805e+18,1687072128.0043454,1.6870721332017083e+18
1.6870721349221368e+18,1687072128.0043454,1.6870721332350646e+18
1.687072134955493e+18,1687072128.0043454,1.6870721332684209e+18
1.6870721349888494e+18,1687072128.0043454,1.6870721333017772e+18
1.6870721350222057e+18,1687072128.0043454,1.6870721333351334e+18
1.6870721350555617e+18,1687072128.0043454,1.6870721333684895e+18
1.687072135088918e+18,1687072128.0043454,1.6870721334018458e+18
1.687072135122274e+18,1687072128.0043454,1.6870721334352018e+18
1.6870721351556303e+18,1687072128.0043454,1.687072133468558e+18
1.6870721351889866e+18,1687072128.0043454,1.6870721335019144e+18
1.6870721352223427e+18,1687072128.0043454,1.6870721335352704e+18
1.6870721352556987e+18,1687072128.0043454,1.6870721335686264e+18
1.687072135289055e+18,1687072128.0043454,1.6870721336019827e+18
1.6870721353224115e+18,1687072128.0043454,1.6870721336353393e+18
1.6870721353557696e+18,1687072128.0043454,1.6870721336686973e+18
1.6870721353891274e+18,1687072128.0043454,1.6870721337020552e+18
1.687072135422485e+18,1687072128.0043454,1.6870721337354127e+18
1.687072135455843e+18,1687072128.0043454,1.6870721337687708e+18
1.687072135489201e+18,1687072128.0043454,1.6870721338021286e+18
1.687072135522559e+18,1687072128.0043454,1.6870721338354867e+18
1.6870721355559168e+18,1687072128.0043454,1.6870721338688445e+18
1.6870721355892744e+18,1687072128.0043454,1.687072133902202e+18
1.6870721356226322e+18,1687072128.0043454,1.68707213393556e+18
1.68707213565599e+18,1687072128.0043454,1.6870721339689178e+18
1.687072135689348e+18,1687072128.0043454,1.6870721340022758e+18
1.687072135722706e+18,1687072128.0043454,1.6870721340356337e+18
1.6870721357560637e+18,1687072128.0043454,1.6870721340689915e+18
1.6870721357894216e+18,1687072128.0043454,1.6870721341023493e+18
1.6870721358227791e+18,1687072128.0043454,1.687072134135707e+18
1.6870721358561372e+18,1687072128.0043454,1.687072134169065e+18
1.687072135889495e+18,1687072128.0043454,1.6870721342024228e+18
1.6870721359228529e+18,1687072128.0043454,1.6870721342357806e+18
1.6870721359562107e+18,1687072128.0043454,1.6870721342691384e+18
